id,location,bathrooms,bedrooms,parking,size,agent,price
755,Bishopscourt,5.0,5.0,13.0,3684,Pam Golding Properties - Southern Suburbs,38 000 000
756,Stonehurst Mountain Estate,3.5,3.0,2.0,198,Seeff False Bay - Muizenberg,4 700 000
757,Maitland,3.0,4.0,2.0,400,RLK Properties,2 599 900
758,Claremont,1.5,3.0,1.0,459,Sale,4 950 000
759,Green Point,2.0,3.0,,150,RE/MAX Living,7 500 000
760,Pelican Park,2.0,3.0,4.0,248,Rawson Properties Strandfontein,1 250 000
761,Kirstenhof,1.0,2.0,2.0,236,Erf Size,2 185 000
762,Wetton,2.0,4.0,,595,RE/MAX Elite,2 150 000
763,Kenwyn,1.5,3.0,5.0,720,Pam Golding Properties - Southern Suburbs,2 400 000
764,Charlesville,2.0,3.0,4.0,434,Just Property Kraaifontein,1 295 000
765,Muizenberg,2.0,2.0,3.0,193,Keller Williams Explore Properties,1 195 000
766,Maitland,3.0,4.0,2.0,400,RLK Properties,2 599 900
767,Southfield,1.0,3.0,5.0,496,REDZ etc,1 795 000
768,Higgovale,5.0,4.0,4.0,490,Erf Size,12 500 000
769,Newlands,4.0,5.0,4.0,444,Knight Frank,6 800 000
770,Mountview,2.0,3.0,1.0,247,Greeff Christie's International Real Estate - Southern Suburbs,1 559 000
771,Frogmore Estate,2.0,3.0,3.0,608,Erf Size,2 350 000
772,Belhar,1.0,3.0,1.0,180,Icon Property Group,990 000
773,Silvertree Estate,3.5,4.0,4.0,604,Tyson Properties Southern Suburbs,9 350 000
774,Observatory,2.0,5.0,,171,RE/MAX Living,2 295 000
775,Constantia,4.0,4.0,6.0,1627,Tyson Properties Southern Suburbs,13 995 000
776,Sea Point,3.5,4.0,2.0,240,Jawitz Atlantic Seaboard,7 350 000
777,Observatory,1.0,2.0,,149,Tyson Properties Atlantic Seaboard,2 150 000
778,Gardens,3.0,2.0,,102,Signature Real Estate,3 895 000
779,Claremont Upper,3.5,4.0,2.0,,Sotheby's International Realty - Claremont,6 450 000
780,Athlone,2.0,5.0,,299,Erf Size,1 550 000
781,Green Point,6.0,6.0,,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,8 900 000
782,Bergvliet,3.0,5.0,6.0,838,Pam Golding Properties - Southern Suburbs,4 700 000
783,Vredehoek,1.5,3.0,2.0,215,Tyson Properties Atlantic Seaboard,5 995 000
784,Pinelands,2.0,3.0,2.0,370,RE/MAX Living,3 950 000
785,Thornton,2.0,3.0,2.0,221,Sharon Van Rensburg Properties,1 425 000
786,Newlands,4.0,4.0,4.0,493,Greeff Christie's International Real Estate - Southern Suburbs,10 800 000
787,Kenilworth,6.0,5.0,2.0,727,Rawson Properties Rawson Auctions Western Cape,9 000 000
