id,location,bathrooms,bedrooms,parking,size,agent,price
737,Rondebosch,2.0,3.0,2.0,802,Greeff Christie's International Real Estate - Southern Suburbs,4995000
738,Marina Da Gama,3.0,4.0,1.0,369,Seeff False Bay - Muizenberg,1950000
739,Lansdowne,2.0,2.0,1.0,312,Jawitz South East Suburbs,1450000
740,Woodstock,1.0,2.0,,170,Seeff Southern Suburbs,2750000
741,Newlands,2.0,4.0,4.0,704,Chas Everitt Cape Town South,10600000
742,Rondebosch,2.0,3.0,4.0,744,Vineyard Estates,6900000
743,Rondebosch,3.0,4.0,,446,Rawson Properties Constantia,4250000
744,Claremont Upper,3.0,4.0,4.0,570,Jawitz Constantia,6999000
745,Higgovale,3.5,3.0,1.0,335,RE/MAX Living,14900000
746,Kenilworth Upper,4.0,3.0,8.0,1978,Seeff Southern Suburbs,12500000
747,Maitland,2.0,3.0,,231,Rawson Properties Rawson Auctions Western Cape,1350000
748,Diep River,3.0,4.0,2.0,496,"RE/MAX, Premier - Claremont",2995000
749,Camps Bay,6.0,6.0,6.0,1082,Live Real Estate,69995000
750,Retreat,2.0,3.0,5.0,295,Sotheby's International Realty - Tokai,1495000
751,Mowbray,1.0,3.0,2.0,405,Knight Frank,3450000
752,Lansdowne,2.0,2.0,1.0,312,Jawitz South East Suburbs,1450000
753,Rondebosch,3.0,4.0,6.0,1071,Pam Golding Properties - Southern Suburbs,7450000
754,Bo Kaap,1.0,3.0,,110,"LRE Group, Rondebosch",2590000
755,Bishopscourt,5.0,5.0,13.0,3684,Pam Golding Properties - Southern Suburbs,38000000
756,Stonehurst Mountain Estate,3.5,3.0,2.0,198,Seeff False Bay - Muizenberg,4700000
757,Maitland,3.0,4.0,2.0,400,RLK Properties,2599900
758,Claremont,1.5,3.0,1.0,459,Sale,4950000
759,Green Point,2.0,3.0,,150,RE/MAX Living,7500000
760,Pelican Park,2.0,3.0,4.0,248,Rawson Properties Strandfontein,1250000
761,Kirstenhof,1.0,2.0,2.0,236,Erf Size,2185000
762,Wetton,2.0,4.0,,595,RE/MAX Elite,2150000
763,Kenwyn,1.5,3.0,5.0,720,Pam Golding Properties - Southern Suburbs,2400000
764,Charlesville,2.0,3.0,4.0,434,Just Property Kraaifontein,1295000
765,Muizenberg,2.0,2.0,3.0,193,Keller Williams Explore Properties,1195000
766,Maitland,3.0,4.0,2.0,400,RLK Properties,2599900
767,Southfield,1.0,3.0,5.0,496,REDZ etc,1795000
768,Higgovale,5.0,4.0,4.0,490,Erf Size,12500000
769,Newlands,4.0,5.0,4.0,444,Knight Frank,6800000
770,Mountview,2.0,3.0,1.0,247,Greeff Christie's International Real Estate - Southern Suburbs,1559000
771,Frogmore Estate,2.0,3.0,3.0,608,Erf Size,2350000
772,Belhar,1.0,3.0,1.0,180,Icon Property Group,990000
773,Silvertree Estate,3.5,4.0,4.0,604,Tyson Properties Southern Suburbs,9350000
774,Observatory,2.0,5.0,,171,RE/MAX Living,2295000
775,Constantia,4.0,4.0,6.0,1627,Tyson Properties Southern Suburbs,13995000
776,Sea Point,3.5,4.0,2.0,240,Jawitz Atlantic Seaboard,7350000
777,Observatory,1.0,2.0,,149,Tyson Properties Atlantic Seaboard,2150000
778,Gardens,3.0,2.0,,102,Signature Real Estate,3895000
779,Claremont Upper,3.5,4.0,2.0,,Sotheby's International Realty - Claremont,6450000
780,Athlone,2.0,5.0,,299,Erf Size,1550000
781,Green Point,6.0,6.0,,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,8900000
782,Bergvliet,3.0,5.0,6.0,838,Pam Golding Properties - Southern Suburbs,4700000
783,Vredehoek,1.5,3.0,2.0,215,Tyson Properties Atlantic Seaboard,5995000
784,Pinelands,2.0,3.0,2.0,370,RE/MAX Living,3950000
785,Thornton,2.0,3.0,2.0,221,Sharon Van Rensburg Properties,1425000
786,Newlands,4.0,4.0,4.0,493,Greeff Christie's International Real Estate - Southern Suburbs,10800000
787,Kenilworth,6.0,5.0,2.0,727,Rawson Properties Rawson Auctions Western Cape,9000000
788,Tokai,3.0,4.0,5.0,1085,RE/MAX Elite,4450000
789,Harfield Village,1.0,2.0,2.0,163,Pam Golding Properties - Southern Suburbs,1700000
790,Hanover Park,1.0,2.0,,159,Rawson Properties Rawson Auctions Western Cape,389000
791,Claremont Upper,5.0,5.0,3.0,816,Dogon Group Southern Suburbs,6395000
792,Observatory,1.0,3.0,,150,Eazi Real Estate,2350000
793,Plumstead,1.0,3.0,,243,Rawson Properties Constantia,2195000
794,Thornton,2.0,3.0,2.0,221,Sharon Van Rensburg Properties,1425000
795,Silvertree Estate,4.5,4.0,4.0,654,Sotheby's International Realty - Tokai,9950000
796,Lakeside,1.0,2.0,3.0,542,Glendyr Dade Properties,1950000
797,Newlands,2.0,3.0,1.0,330,Sotheby's International Realty - Claremont,4900000
798,Bo Kaap,3.0,3.0,2.0,749,RE/MAX Living,4950000
799,Adriaanse,1.0,4.0,3.0,991,Huizemark Bellville,970000
800,Kenilworth,3.0,5.0,2.0,539,Sale,3950000
801,Lansdowne,1.5,3.0,3.0,538,Pam Golding Properties - South Eastern Suburbs,1850000
802,Marina Da Gama,2.0,3.0,2.0,557,Engel & Volkers False Bay,3500000
803,Gardens,1.0,2.0,,,RE/MAX Living,5500000
804,Pelican Park,1.5,2.0,,309,Pam Golding Properties - South Eastern Suburbs,950000
805,Woodstock,1.0,4.0,,140,BAE Estates & Escapes,1099999
806,Tamboerskloof,3.0,3.0,,166,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",5450000
807,Stonehurst Mountain Estate,5.0,3.0,4.0,347,Stonehurst Properties,6750000
808,Constantia,2.0,3.0,5.0,1106,Keller Williams Eden,4999000
809,Costa Da Gama,1.0,2.0,1.0,200,Erf Size,1399000
810,Kenilworth,1.0,2.0,2.0,162,Eazi Real Estate,1750000
811,Green Point,2.5,2.0,,150,Dogon Group Sea Point - Head Office,7500000
812,Oranjezicht,4.5,5.0,2.0,595,Pam Golding Properties - City Bowl,18995000
813,Surrey Estate,2.0,3.0,2.0,,,1950000
814,Green Point,2.5,2.0,,150,Dogon Group Sea Point - Head Office,7500000
815,Claremont Upper,4.5,4.0,2.0,1154,Seeff Southern Suburbs,9450000
816,Bishopscourt Village,5.0,5.0,7.0,857,Sale,12595000
817,Pinelands,5.0,6.0,10.0,1428,Sharon Van Rensburg Properties,6850000
818,Three Anchor Bay,2.5,3.0,1.0,198,LM Property Group - Cape Town,5950000
819,Mowbray,2.0,5.0,1.0,,"RE/MAX, Property Associates - Pinelands",2950000
820,Constantia,5.0,6.0,2.0,2026,Constantia Valley Estates,10500000
821,Three Anchor Bay,2.0,3.0,2.0,300,Property.CoZa - Atlantic Seaboard,6250000
822,Observatory,2.0,6.0,,310,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2695000
823,Kirstenhof,2.5,3.0,2.0,833,Rawson Properties Constantia,3595000
824,Oranjezicht,7.0,7.0,1.0,484,RE/MAX Living,12000000
825,Llandudno,4.0,4.0,3.0,991,Atteridge Real Estate,27500000
826,Constantia,3.0,4.0,4.0,1426,Jawitz Constantia,9950000
827,Plumstead,2.0,3.0,5.0,615,"RE/MAX, Property Associates - Pinelands",2695000
828,Surrey Estate,2.0,3.0,1.0,,,2599000
829,Constantia,3.0,3.0,2.0,4489,Pam Golding Properties - Southern Suburbs,12750000
830,Belhar,2.0,5.0,2.0,,Harcourts House of Real Estate,930000
831,Camps Bay,3.0,4.0,6.0,1427,Seeff Camps Bay - Sales,19900000
832,Surrey Estate,2.0,3.0,1.0,,,2599000
833,Fresnaye,2.5,3.0,2.0,200,Jawitz Atlantic Seaboard,8299000
834,Mowbray,1.0,3.0,,230,RE/MAX Living,1700000
835,Observatory,2.5,3.0,2.0,182,ERA City Bowl,3700000
836,Vredehoek,3.0,3.0,,174,Pam Golding Properties - City Bowl,2900000
837,Claremont Upper,3.5,4.0,3.0,407,RE/MAX Elite,7250000
838,Newlands,5.0,5.0,4.0,583,Chas Everitt Cape Town South,9900000
839,Llandudno,2.0,4.0,2.0,1182,Cape Waterfront Estates,15500000
840,Lansdowne,2.0,3.0,2.0,495,Erf Size,2250000
841,Oranjezicht,6.0,4.0,2.0,561,Sale,7400000
842,Newlands,2.5,4.0,7.0,3634,Pam Golding Properties - Southern Suburbs,18000000
843,Marina Da Gama,3.0,4.0,4.0,1126,Keller Williams Explore Properties,2940000
844,Constantia,7.5,6.0,12.0,2573,Pam Golding Properties - Southern Suburbs,15950000
845,Surrey Estate,2.0,3.0,7.0,481,Eazi Real Estate,2600000
846,Oranjezicht,5.0,5.0,2.0,430,Erf Size,9290000
847,Bishopscourt Village,3.0,3.0,1.0,457,Pam Golding Properties - Southern Suburbs,6300000
848,Woodstock,1.0,3.0,2.0,205,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",3395000
849,Constantia,7.5,6.0,12.0,2573,Pam Golding Properties - Southern Suburbs,15950000
850,Bergvliet,1.0,3.0,3.0,831,Keller Williams Eden,2500000
851,Bantry Bay,2.0,4.0,2.0,501,Lance Real Estate,9250000
852,Tokai,2.5,4.0,6.0,,Omega Real Estate,4499000
853,Pinelands,3.0,4.0,3.0,748,RE/MAX Living,3595000
854,Green Point,3.0,3.0,1.0,378,Tyson Properties Atlantic Seaboard,7950000
855,Sybrand Park,2.0,4.0,6.0,,Robshaw Property Group,2600000
856,Bantry Bay,5.0,4.0,2.0,849,RE/MAX Living,60000000
857,Lotus River,2.0,6.0,3.0,276,Nadia Moses Real Estates,1800000
858,Zonnebloem,1.0,2.0,1.0,185,RE/MAX Living,2785000
859,Constantia,3.5,4.0,2.0,1303,Pam Golding Properties - Southern Suburbs,12400000
860,Camps Bay,6.5,5.0,6.0,,RE/MAX Living,49500000
861,Constantia,2.0,4.0,,9453,Greeff Christie's International Real Estate - Southern Suburbs,19900000
862,Vredehoek,3.0,3.0,3.0,,Jawitz Atlantic Seaboard,4350000
863,Marina Da Gama,2.0,3.0,3.0,,RE/MAX Elite,1670000
864,Pinelands,1.0,2.0,3.0,395,Seeff Pinelands,2295000
865,Green Point,7.0,6.0,3.0,,FPS Properties,9250000
866,Kirstenhof,2.0,2.0,3.0,257,Beachside Properties,2395000
867,Woodstock,3.0,7.0,,273,ClareMart Auction Group,POA
868,Kalk Bay,4.0,5.0,4.0,1222,Engel & Volkers False Bay,9400000
869,Observatory,3.0,3.0,,103,We Trade Property - Northern Suburbs,2395000
870,Kenilworth,2.0,3.0,2.0,366,"RE/MAX, Property Associates - Pinelands",2645000
871,Rondebosch East,3.0,3.0,5.0,595,"RE/MAX, Property Associates - Pinelands",4950000
872,Marina Da Gama,2.0,3.0,3.0,,RE/MAX Elite,1670000
873,Pinelands,4.0,4.0,2.0,979,Sharon Van Rensburg Properties,4450000
874,Plumstead,4.0,6.0,2.0,990,Pam Golding Properties - Southern Suburbs,4700000
875,Pelican Park,2.0,4.0,1.0,200,Omega Real Estate,1450000
876,Sea Point,2.0,3.0,1.0,397,RE/MAX Living,6250000
877,Muizenberg,2.0,3.0,3.0,219,"RE/MAX, Premier - Claremont",1995000
878,Observatory,2.5,5.0,2.0,373,RE/MAX Living,2550000
879,Woodstock,1.0,2.0,,151,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",1650000
880,Plumstead,1.0,1.0,,,REDZ etc,1312571
881,Foreshore,1.0,1.0,1.0,,Brown Property,2150000
882,Claremont,1.0,3.0,2.0,495,The Agency Property Group,4650000
883,Kirstenhof,4.0,4.0,2.0,,,3625000
884,Rondebosch,2.0,3.0,4.0,251,"RE/MAX, Premier - Claremont",5175000
885,Zeekoevlei,2.0,5.0,5.0,650,"RE/MAX, Premier - Claremont",2995000
886,Three Anchor Bay,2.5,3.0,1.0,174,Pam Golding Properties - Atlantic Seaboard,7950000
887,Lotus River,1.0,3.0,2.0,500,RE/MAX Impact,1545000
888,Plumstead,1.0,2.0,,,,1695000
889,Claremont,1.0,2.0,1.0,249,Heads Residential Property,2295000
890,Southfield,1.0,2.0,3.0,,Eazi Real Estate,1450000
891,Belhar,4.0,4.0,2.0,493,We Trade Property - Northern Suburbs,1550000
892,Belhar,1.0,2.0,1.0,,Rank Real Estate Bellville,780000
893,Gardens,5.5,8.0,1.0,171,RE/MAX Living,6995000
894,Green Point,6.0,13.0,,537,Rawson Properties Cape Town CBD,11500000
895,Retreat,1.0,5.0,2.0,510,Chas Everitt Cape Town South,1950000
896,Woodstock,3.0,4.0,4.0,545,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",3995000
897,Tamboerskloof,3.0,3.0,1.0,415,"Kapstadt International Properties cc, Gardens",6200000
898,Claremont Upper,2.5,3.0,2.0,612,Dogon Group Southern Suburbs,6500000
899,Wynberg,1.0,2.0,1.0,170,Realty Professionals,1050000
900,Claremont Upper,2.5,3.0,2.0,612,Dogon Group Southern Suburbs,6500000
901,Observatory,1.0,3.0,,218,Realty Atlas,2499000
902,Rylands,3.0,6.0,6.0,298,RE/MAX Elite,1490000
903,Green Point,13.0,12.0,10.0,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,19500000
904,Mowbray,2.5,3.0,1.0,199,Knight Frank,3900000
905,Tokai,3.0,4.0,2.0,1250,Seeff Southern Suburbs,4095000
906,Rondebosch Village,1.0,3.0,2.0,,RE/MAX Elite,3650000
907,Fisantekraal,1.0,3.0,1.0,200,Attorney Realtor Hub,620000
908,Marina Da Gama,1.0,3.0,4.0,560,"RE/MAX, Premier - Claremont",2475000
909,Kalk Bay,4.0,4.0,3.0,466,Engel & Volkers False Bay,13495000
910,Newlands,2.5,3.0,4.0,543,Chas Everitt Cape Town South,6990000
911,Hanover Park,1.0,2.0,5.0,102,RE/MAX Impact,480000
912,Tokai,3.0,4.0,5.0,547,Keller Williams Explore Properties,3750000
913,Pelican Park,2.0,4.0,4.0,,RE/MAX Impact,1395000
914,Muizenberg,2.0,3.0,3.0,219,Erf Size,1995000
915,Bishopscourt,4.5,5.0,4.0,4344,Seeff Southern Suburbs,11300000
916,Wynberg Upper,1.0,2.0,2.0,246,Pam Golding Properties - Southern Suburbs,2199000
917,Woodstock,1.0,2.0,,117,RE/MAX Living,1995000
918,Bishopscourt,4.5,5.0,4.0,4344,Seeff Southern Suburbs,11300000
919,Camps Bay,3.0,3.0,2.0,379,Seeff Camps Bay - Sales,10995000
920,Fresnaye,6.0,4.0,3.0,1528,RE/MAX Living,32500000
921,Woodstock,1.0,2.0,,1022,Tyson Properties Atlantic Seaboard,1750000
922,Sea Point,2.0,2.0,1.0,210,We Trade Property - Northern Suburbs,POA
923,Bonteheuwel,1.0,3.0,2.0,108,"CCH Properties, Western Cape and South Africa",549000
924,Retreat,1.0,3.0,2.0,791,Cape Realty International,1795000
925,Muizenberg,2.0,3.0,1.0,403,Sale,3200000
926,Wynberg,2.0,4.0,2.0,496,RE/MAX Living,2750000
927,Harfield Village,2.0,2.0,1.0,209,Harcourts Maynard Burgoyne,2500000
928,Gardens,14.0,13.0,,,Jawitz Atlantic Seaboard,10695000
929,Ocean View,1.0,3.0,,109,Chas Everitt Cape Town South,695000
930,Constantia,2.0,3.0,2.0,291,Alexo Property Brokers,3500000
931,Newlands,3.0,4.0,2.0,450,Keller Williams Eden,5385000
932,Newlands,3.5,4.0,2.0,195,Hardie Property,5795000
933,Bergvliet,2.0,5.0,4.0,854,Keller Williams Explore Properties,3900000
934,Claremont Upper,5.0,6.0,2.0,1512,Greeff Christie's International Real Estate - Southern Suburbs,33500000
935,Plumstead,3.0,5.0,2.0,,Rawson Properties Rawson Auctions Western Cape,3150000
936,Wynberg Upper,2.0,3.0,5.0,478,Rawson Properties Constantia,2600000
937,Ocean View,1.0,3.0,,109,Chas Everitt Cape Town South,695000
938,Constantia,3.0,3.0,8.0,5507,Tyson Properties Southern Suburbs,10950000
939,Woodstock,1.0,2.0,,119,BAE Estates & Escapes,899999
940,Belhar,1.0,3.0,1.0,275,We Trade Property - Northern Suburbs,700000
941,Rondebosch East,3.0,5.0,6.0,624,Jawitz South East Suburbs,3995000
942,Newlands,2.0,3.0,5.0,574,Pam Golding Properties - Southern Suburbs,4850000
943,Muizenberg,2.0,3.0,2.0,250,Erf Size,1575000
944,Grassy Park,,,,,Momentum International Realty - Central,1500000
945,Rondebosch,3.5,5.0,6.0,991,Link Property People,10500000
946,Ottery,3.0,3.0,2.0,113,Rawson Properties Constantia,1620000
947,Constantia,2.0,3.0,3.0,96,"RE/MAX, Premier - Claremont",3750000
948,Kenilworth Upper,2.0,3.0,2.0,363,Seeff Southern Suburbs,4950000
949,Wynberg,1.0,2.0,1.0,102,Icon Properties,1100000
950,Kenilworth,2.0,3.0,4.0,496,Norgarb Properties,3275000
951,Constantia,,,,1500,Erf Size,4995000
952,Constantia,5.5,5.0,8.0,2104,Hardie Property,7900000
953,Plumstead,4.0,5.0,5.0,496,"RE/MAX, Premier - Claremont",2795000
954,Kenilworth,2.0,4.0,3.0,359,"RE/MAX, Premier - Claremont",3475000
955,Wynberg,1.0,3.0,2.0,154,Greeff Christie's International Real Estate - Southern Suburbs,1450000
956,Constantia,4.0,4.0,8.0,1359,Chas Everitt Cape Town South,5950000
957,Belhar,1.0,3.0,,254,Icon Property Group,750000
958,Plumstead,1.0,3.0,4.0,496,Keller Williams Eden,2475000
959,Clifton,,,,,The High St Auction Co,POA
960,Wynberg Upper,1.0,2.0,2.0,250,Pam Golding Properties - Southern Suburbs,1899000
961,Mowbray,2.0,3.0,2.0,429,Pam Golding Properties - Southern Suburbs,3200000
962,Pelican Park,1.0,2.0,1.0,,,950000
963,Green Point,6.0,5.0,4.0,577,Tyson Properties Atlantic Seaboard,8995000
964,Claremont,2.0,4.0,4.0,211,Knight Frank,3200000
965,Bo Kaap,4.0,8.0,1.0,190,Rawson Properties Claremont,5500000
966,Wynberg,1.0,3.0,2.0,154,Greeff Christie's International Real Estate - Southern Suburbs,1450000
967,Gardens,2.0,4.0,2.0,335,Engel & Volkers Atlantic Seaboard & City Bowl,4750000
968,Muizenberg,1.0,2.0,3.0,191,Seeff False Bay - Muizenberg,1295000
969,Vredehoek,1.0,3.0,1.0,1000,Chas Everitt Atlantic Seaboard and City Bowl,POA
970,Harfield Village,2.5,3.0,,396,Knight Frank,2795000
971,Newlands,2.5,2.0,2.0,1066,Sale,10900000
972,Vredehoek,2.0,3.0,2.0,,Jawitz Atlantic Seaboard,4365000
973,Kenilworth Upper,4.0,5.0,4.0,1451,Pam Golding Properties - Southern Suburbs,16900000
974,Zonnebloem,1.0,2.0,1.0,185,RE/MAX Living,2790000
975,Meadowridge,3.0,4.0,3.0,815,RE/MAX Elite,3650000
976,Bishopscourt Village,2.5,3.0,3.0,450,Seeff Southern Suburbs,5200000
977,Gleemoor,2.0,5.0,2.0,423,Theron Property Group,1899000
978,Observatory,1.0,2.0,,123,Rose Eedes Properties,1999000
979,Higgovale,2.5,3.0,2.0,472,"Kapstadt International Properties cc, Gardens",9900000
980,Newlands,1.5,3.0,1.0,108,Pam Sorel Properties,3800000
981,Welcome,2.0,3.0,2.0,,,1695000
982,Grassy Park,1.0,3.0,,260,Rawson Properties Constantia,1250000
983,Newlands,1.5,3.0,1.0,108,Pam Sorel Properties,3800000
984,Kenilworth Upper,3.0,4.0,3.0,468,Keller Williams Eden,5400000
985,Barbarosa Estate,2.0,4.0,2.0,2375,Realty Professionals,7595000
986,Claremont,2.0,3.0,1.0,318,Keller Williams Explore Properties,3250000
987,Southfield,2.0,4.0,9.0,648,Sotheby's International Realty - Claremont,2695000
988,Pinelands,2.0,3.0,2.0,488,Pam Golding Properties - Southern Suburbs,3195000
989,Constantia,2.5,3.0,5.0,996,Jawitz Constantia,4295000
990,Muizenberg,1.0,1.0,1.0,,Evolution Properties,859000
991,Observatory,2.0,3.0,3.0,246,"RE/MAX, Property Associates - Table View",4200000
992,Llandudno,5.0,5.0,3.0,991,Signature Real Estate,17995000
993,Pinelands,2.0,3.0,14.0,1027,RE/MAX Elite,3500000
994,Gardens,1.5,3.0,,112,"Kapstadt International Properties cc, Gardens",4750000
995,Gleemoor,1.0,3.0,2.0,418,Erf Size,2199000
996,Tamboerskloof,2.0,3.0,,316,Pam Golding Properties - City Bowl,6950000
997,Plumstead,1.0,2.0,2.0,244,Jawitz Constantia,1595000
998,Pinelands,2.0,3.0,3.0,817,Greeff Christie's International Real Estate - Southern Suburbs,3795000
999,Observatory,1.0,3.0,1.0,273,Pam Golding Properties - Southern Suburbs,2749000
1000,Claremont,2.0,2.0,,146,Keller Williams Explore Properties,2200000
1001,Claremont Upper,6.0,5.0,12.0,1501,Seeff Southern Suburbs,17500000
1002,Woodstock,3.0,3.0,,108,"RE/MAX, Premier - Claremont",2850000
1003,Bergvliet,2.0,4.0,2.0,969,Realty Professionals,3150000
1004,Rondebosch,3.0,5.0,5.0,743,Sotheby's International Realty - Claremont,6995000
1005,Claremont,3.0,3.0,3.0,496,Rawson Properties Claremont,4995000
1006,Surrey Estate,3.0,4.0,6.0,,"RE/MAX, Property Associates - Pinelands",1995000
1007,Woodstock,3.0,3.0,,108,"RE/MAX, Premier - Claremont",2850000
1008,Newlands,3.5,3.0,4.0,438,Tyson Properties Southern Suburbs,6560000
1009,Pelican Park,2.0,4.0,2.0,267,Realty Professionals,1395000
1010,Bishopscourt,3.0,5.0,7.0,4035,Pam Golding Properties - Southern Suburbs,24950000
1011,Newlands,3.0,4.0,7.0,757,Seeff Southern Suburbs,6500000
1012,Pelican Park,2.0,4.0,1.0,200,Sale,1450000
1013,Oranjezicht,3.0,4.0,,285,"Kapstadt International Properties cc, Gardens",5780000
1014,Ottery,1.0,2.0,2.0,58,Pam Golding Properties - South Eastern Suburbs,1150000
1015,Cape Town City Centre,2.0,3.0,2.0,,Fine & Country - Associates,12500000
1016,Silvertree Estate,2.5,3.0,2.0,722,Sotheby's International Realty - Tokai,8450000
1017,Silvertree Estate,3.0,5.0,3.0,,Broll Property Group,12800000
1018,Woodstock,2.0,2.0,2.0,179,Jawitz Atlantic Seaboard,2795000
1019,Bishopscourt,3.0,5.0,7.0,4035,Pam Golding Properties - Southern Suburbs,24950000
1020,Constantia,5.0,5.0,8.0,2032,Erf Size,11500000
1021,Ottery,,,,,Pears Property Group,5800000
1022,Claremont Upper,2.5,3.0,2.0,,Law Real Estate,6299000
1023,Marina Da Gama,2.0,3.0,3.0,160,RE/MAX Elite,2350000
1024,Constantia,4.0,5.0,3.0,2032,Sotheby's International Realty - Tokai,11500000
1025,Bonteheuwel,1.0,1.0,,232,Rawson Properties Rawson Auctions Western Cape,399000
1026,Kenilworth Upper,6.0,6.0,9.0,2498,Vineyard Estates,18750000
1027,Wynberg,2.0,3.0,1.0,207,Tyson Properties Southern Suburbs,1550000
1028,Camps Bay,3.5,4.0,5.0,991,Seeff Camps Bay - Sales,13950000
1029,Observatory,3.0,3.0,,173,Rawson Properties RD Sales / Rentals,2550000
1030,Rosebank,2.5,3.0,22.0,550,Knight Frank,3900000
1031,Kenwyn,2.0,4.0,6.0,634,"RE/MAX, Premier - Claremont",2850000
1032,Kensington,2.0,3.0,1.0,495,Meggar Property Brokers,1850000
1033,Wynberg,2.0,2.5,2.0,240,Tyson Properties Southern Suburbs,1650000
1034,Woodstock,1.0,3.0,2.0,205,"RE/MAX, Property Associates - Pinelands",3395000
1035,Plumstead,2.0,4.0,2.0,448,Constantia Valley Estates,2550000
1036,Claremont Upper,3.0,3.0,2.0,309,Dogon Group Southern Suburbs,6950000
1037,Pinelands,2.0,3.0,1.0,951,Harcourts Maynard Burgoyne,3600000
1038,Southfield,1.0,3.0,2.0,210,NDS Real Estate,1600000
1039,Walmer Estate,2.0,4.0,2.0,495,"RE/MAX, Property Associates - Pinelands",4300000
1040,Walmer Estate,2.0,4.0,2.0,495,"RE/MAX, Property Associates - Pinelands",4300000
1041,Walmer Estate,2.0,1.0,2.0,135,Rawson Properties Constantia,2750000
1042,Sea Point,2.5,3.0,2.0,159,Seeff Sea Point - Sales,7500000
1043,Salt River,2.0,6.0,,94,Seeff Southern Suburbs,2750000
1044,Rondebosch,1.5,2.0,2.0,306,Greeff Christie's International Real Estate - Southern Suburbs,2999000
1045,Observatory,3.0,4.0,,210,Sharon Ball Properties,3100000
1046,Woodstock,4.0,3.0,,349,Rawson Properties Rawson Auctions Western Cape,2700000
1047,Observatory,2.0,3.0,1.0,339,Erf Size,2500000
1048,Observatory,2.0,3.0,2.0,244,Rose Eedes Properties,2395000
1049,Lotus River,2.0,3.0,,285,RE/MAX In Motion (Mitchells Plain),1850000
1050,Constantia,2.0,3.0,4.0,330,Blue Chip Properties,4495000
1051,Green Point,2.0,3.0,2.0,,LM Property Group - Cape Town,5950000
1052,Coniston Park,3.0,3.0,6.0,460,RE/MAX Impact,1495000
1053,Meadowridge,2.0,3.0,1.0,862,Chas Everitt Cape Town South,3295000
1054,Observatory,1.0,3.0,3.0,,Sharon Ball Properties,3500000
1055,Mowbray,2.0,3.0,3.0,401,Sotheby's International Realty - Claremont,3950000
1056,Gardens,2.0,3.0,2.0,219,RE/MAX Living,4465000
1057,Woodstock,1.0,2.0,,123,Tyson Properties Atlantic Seaboard,2250000
1058,Muizenberg,1.0,2.0,1.0,,,1199000
1059,Woodstock,1.0,2.0,,111,Eazi Real Estate,1950000
1060,Claremont,3.0,5.0,3.0,,Rawson Properties Constantia,5500000
1061,Woodstock,1.0,2.0,,,Lionlead Real Estate,1800000
1062,Claremont Upper,2.0,3.0,3.0,397,Dogon Group Southern Suburbs,5440000
1063,Retreat,2.0,5.0,,,,1695000
1064,Woodstock,1.0,2.0,,123,Tyson Properties Atlantic Seaboard,2250000
1065,Tamboerskloof,2.0,2.0,,134,RE/MAX Living,3950000
1066,Claremont,4.0,6.0,1.0,621,Rawson Properties Claremont,3495000
1067,Bo Kaap,2.0,5.0,1.0,201,"LRE Group, Rondebosch",6000000
1068,Claremont,2.0,3.0,2.0,366,Eazi Real Estate,2645000
1069,Frogmore Estate,3.0,4.0,1.0,496,Property.CoZa - Southern Peninsula,2393000
1070,Observatory,2.0,3.0,1.0,175,Robshaw Property Group,2995000
1071,Stonehurst Mountain Estate,4.5,4.0,2.0,347,Sotheby's International Realty - Tokai,6750000
1072,Constantia,3.0,3.0,3.0,5500,Sotheby's International Realty - Tokai,10950000
1073,Belhar,3.0,5.0,1.0,750,We Trade Property - Northern Suburbs,2400000
1074,Rondebosch,2.0,3.0,2.0,393,Seeff Southern Suburbs,5300000
1075,Wynberg Upper,1.0,2.0,,208,Pam Golding Properties - Southern Suburbs,2000000
1076,Bishopscourt,6.0,6.0,2.0,4006,The Cape Town Real Estate Company,39000000
1077,Higgovale,3.0,5.0,3.0,703,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",12750000
1078,Seawinds,1.0,3.0,3.0,,RE/MAX Impact,769000
1079,Claremont,4.0,5.0,4.0,535,Greeff Christie's International Real Estate - Southern Suburbs,4995000
1080,Camps Bay,4.5,4.0,3.0,819,Chas Everitt Atlantic Seaboard and City Bowl,21995000
1081,Newlands,1.0,2.0,2.0,256,Keller Williams Eden,3750000
1082,Muizenberg,2.0,2.0,2.0,166,Pam Golding Properties - Muizenberg,1295000
1083,Grassy Park,1.0,3.0,5.0,722,Eazi Real Estate,1700000
1084,Woodstock,1.0,2.0,,100,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2600000
1085,Fresnaye,5.0,5.0,2.0,415,Mayfair Property Group,13500000
1086,Browns Farm,1.0,3.0,4.0,,NMKM Properties Group,880000
1087,Observatory,2.0,5.0,3.0,541,Pam Golding Properties - Southern Suburbs,2480000
1088,Camps Bay,2.5,4.0,2.0,,RE/MAX Living,14950000
