id,location,bathrooms,bedrooms,parking,size,agent,price
476,Lakeside,2.0,4.0,2.0,496,Sotheby's International Realty - Tokai,2795000
477,Rondebosch,4.0,6.0,2.0,373,"RE/MAX, Premier - Claremont",4300000
478,Observatory,1.0,2.0,1.0,201,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2195000
479,Observatory,1.0,2.0,1.0,175,Icon Properties,2150000
480,Camps Bay,6.0,6.0,5.0,837,Chas Everitt Atlantic Seaboard and City Bowl,11900000
481,Kenilworth,2.0,4.0,,669,Seeff Southern Suburbs,3495000
482,Camps Bay,4.0,4.0,4.0,351,Seeff Camps Bay - Sales,24500000
483,Pinelands,2.0,3.0,3.0,818,Sharon Van Rensburg Properties,3250000
484,Zwaanswyk,3.5,4.0,5.0,4047,Brooks and Michaels,16750000
485,Sunnyside,1.5,3.0,,385,Law24,2200000
486,Ottery,1.5,3.0,5.0,480,Sale,1950000
487,Rosebank,2.5,4.0,3.0,509,Heads Residential Property,5995000
488,Vredehoek,2.0,4.0,2.0,207,Pam Golding Properties - City Bowl,5995000
489,Silwersteen Estate,4.5,4.0,6.0,1328,Chas Everitt Cape Town South,14900000
490,Claremont Upper,1.0,3.0,1.0,555,Link Property People,4200000
491,Devils Peak Estate,3.5,4.0,6.0,518,Sotheby's International Realty - Atlantic Seaboard & City Bowl,7500000
492,Green Point,5.0,5.0,2.0,572,Omega Real Estate,11900000
493,Oranjezicht,6.0,6.0,2.0,408,Rawson Properties Cape Town CBD,8700000
494,Constantia,3.0,4.0,4.0,1357,Pam Golding Properties - Southern Suburbs,11900000
495,Claremont,1.5,3.0,2.0,240,Upton Properties Newlands,3200000
496,Stonehurst Mountain Estate,3.5,4.0,5.0,1040,Stonehurst Properties,9950000
497,Claremont Upper,1.0,2.0,2.0,193,Sale,3645000
498,Sybrand Park,4.0,4.0,4.0,594,Pam Golding Properties - Southern Suburbs,3170000
499,Newlands,2.0,3.0,2.0,625,Tyson Properties Southern Suburbs,5595000
500,Claremont,2.0,2.0,2.0,310,Link Property People,3495000
501,Vredehoek,2.0,4.0,2.0,207,Pam Golding Properties - City Bowl,5995000
502,Observatory,1.0,3.0,2.0,191,"Greeff Christie's International Real Estate - City Bowl, Atlantic & Western Seaboard",2195000
503,Rondebosch,3.0,7.0,4.0,404,"RE/MAX, Premier - Claremont",4850000
504,De Waterkant,2.0,2.0,2.0,98,"Leapfrog, City Bowl",7795000
505,Tamboerskloof,1.0,2.0,,,Jawitz Atlantic Seaboard,4690000
506,Penlyn Estate,2.0,6.0,4.0,496,RE/MAX Elite,2350000
507,Zonnebloem,2.5,3.0,2.0,104,Bestnet.Property,3400000
508,Observatory,1.0,2.0,1.0,175,RE/MAX Living,2350000
509,Green Point,3.5,3.0,2.0,511,Pam Golding Properties - Atlantic Seaboard,7900000
510,Green Point,3.5,3.0,2.0,511,Pam Golding Properties - Atlantic Seaboard,7900000
511,Ottery,1.5,3.0,2.0,237,Eazi Real Estate,1695000
512,Lakeside,2.0,3.0,1.0,301,Pam Golding Properties - Southern Suburbs,2950000
513,Newlands,2.0,2.0,2.0,203,Keller Williams Eden,6250000
514,Newlands,5.0,5.0,3.0,481,Tyson Properties Southern Suburbs,5250000
515,Kenilworth Upper,3.0,5.0,4.0,911,Pam Golding Properties - Southern Suburbs,6950000
516,Bishop Lavis,4.0,5.0,2.0,482,property4SALE,1550000
517,Constantia,3.0,3.0,2.0,866,Port Commercial Properties,16500000
518,Constantia,4.0,4.0,6.0,1161,Blue Chip Properties,14000000
519,Fresnaye,6.0,6.0,1.0,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,14990000
520,Green Point,3.5,3.0,2.0,511,Chas Everitt Atlantic Seaboard and City Bowl,7900000
521,Green Point,6.0,4.0,3.0,545,Dogon Group Sea Point - Head Office,23000000
522,Camps Bay,7.5,6.0,2.0,,RE/MAX Living,39950000
523,Vredehoek,1.0,3.0,2.0,229,Eazi Real Estate,3995000
524,Heathfield,1.0,4.0,4.0,595,Chas Everitt Cape Town South,2395000
525,Grassy Park,1.0,2.0,1.0,,"RE/MAX, Property Associates - Pinelands",850000
526,Woodstock,1.0,2.0,1.0,144,Olive Properties,2995000
527,Claremont Upper,4.0,4.0,4.0,542,Tyson Properties Southern Suburbs,5875000
528,Llandudno,5.0,7.0,2.0,1240,Dogon Group Sea Point - Head Office,18380000
529,Hanover Park,2.0,5.0,4.0,256,"RE/MAX, Property Associates - Pinelands",995000
530,Parkwood,1.0,3.0,6.0,,NMKM Properties Group,690000
531,Constantia,5.5,5.0,2.0,1351,Greeff Christie's International Real Estate - Southern Suburbs,10700000
532,Newlands,2.5,3.0,2.0,311,Jawitz Constantia,4500000
533,Claremont Upper,2.0,3.0,3.0,496,Seeff Southern Suburbs,5850000
534,University Estate,5.0,7.0,8.0,512,Rawson Properties Rawson Auctions Western Cape,4995000
535,Claremont,4.0,4.0,,714,Keller Williams Explore Properties,5900000
536,Newlands,3.0,3.0,2.0,464,Knight Frank,8495000
537,Parkwood,1.0,3.0,6.0,,NMKM Properties Group,690000
538,Kensington,1.0,3.0,4.0,248,Lunardini Estates,1175000
539,Rondebosch East,3.0,4.0,5.0,509,Pam Golding Properties - Southern Suburbs,3600000
540,Newlands,3.5,4.0,4.0,874,Pam Golding Properties - Southern Suburbs,8900000
541,Montevideo,3.0,5.0,6.0,504,"LRE Group, Rondebosch",1300000
542,Grassy Park,2.0,5.0,3.0,,,2000000
543,Observatory,1.0,2.0,2.0,206,Seeff Southern Suburbs,2175000
544,Silvertown,2.0,6.0,2.0,272,We Trade Property - Northern Suburbs,2450000
545,Heathfield,1.0,4.0,4.0,595,Chas Everitt Cape Town South,2395000
546,Walmer Estate,6.0,6.0,1.0,322,Meridian Realty,6990000
547,Constantia,6.0,6.0,2.0,4840,Sotheby's International Realty - Tokai,29995000
548,Woodstock,1.0,2.0,1.0,450,Seeff Southern Suburbs,3450000
549,Wynberg Upper,2.0,3.0,2.0,,Chas Everitt Cape Town South,4000000
550,Pinati,2.0,3.0,1.0,595,Rawson Properties Cape Town CBD,1950000
551,Rondebosch,3.0,3.0,1.0,527,Pam Golding Properties - Southern Suburbs,3900000
552,Claremont Upper,2.0,4.0,1.0,320,"RE/MAX, Premier - Claremont",4495000
553,Observatory,2.5,4.0,4.0,184,Vineyard Estates,3395000
